,mouse,group,sesType,sex,pokeRate,inactiveRate,entryRate,P/E ratio,efficiency,rewardRate
0,489-1,naive,RI30,M,6.256306126589694,0.18149936435373662,1.9076615816410014,2.785102239368372,0.15781603432007513,0.6405146973937924
1,489-1,naive,RI60,M,8.645757090396787,0.1937739350555335,2.98366256289005,2.775873705978839,0.13667214744455383,0.7653385103126823
2,489-2,naive,RI30,M,5.827193406136387,0.05304973841722458,6.907152921402333,0.8109388744843993,0.17629983723250695,0.939837497456533
3,489-2,naive,RI60,M,9.15849053857722,0.03822855365891794,4.726112898302995,2.259071252881926,0.10825072188596542,0.7663583079499499
4,489-3,naive,RI30,M,4.145760227503273,0.3881777839969656,4.484375307608832,0.7166914407272342,0.3313675947114162,0.7569986218265177
5,489-3,naive,RI60,M,5.647167519290981,0.6218849161172976,3.4456134486076144,1.5451005331653151,0.17457221682525925,0.7076365043412111
6,489-4,naive,RI30,M,1.6911968897528464,0.20827547903360177,2.241044154401555,0.7308059283967483,0.3526416001183082,0.4457095251319078
7,489-4,naive,RI60,M,4.675275755324068,0.3394164708771886,2.0881108966047246,2.058285930502075,0.2565954581112731,0.5836205005132916
8,491-1,naive,RI30,F,3.239881082297516,0.03332407664537629,19.29708950046181,0.25618661878165366,0.30232167076533273,0.5626132874116749
9,491-1,naive,RI60,F,7.978058603345912,0.6562127373193324,4.857836261294064,1.5680271421922922,0.15580792886166103,0.8337171271510763
10,491-2,naive,RI30,F,2.877613090745902,0.5836151998510021,5.227484003300784,0.6609516666411556,0.2601970926162749,0.7533255707579518
11,491-2,naive,RI60,F,4.523618016359712,0.22945483406491118,3.5703551966927107,1.2856440033814167,0.1778743147607845,0.6880725642099171
12,493-1,naive,RI30,F,3.3523833869098763,0.10050702937334807,4.840117992564093,0.6652569354716436,0.2612569410220173,0.7764644375947107
13,493-1,naive,RI60,F,9.137304092859639,0.27505802629542525,4.941718341261082,1.7702041016908965,0.11479878782910669,0.7518850073489759
14,493-2,naive,RI30,F,1.7495140238822549,0.09997222993612885,5.0610941405165235,0.33349664067731444,0.3608455001497454,0.49153013051930017
15,493-2,naive,RI60,F,5.44840561880492,0.06642768633044689,5.230136391453763,1.072095273183101,0.17295420333196052,0.7750854136809807
16,498-1,stress,RI30,M,4.418188143827368,0.046709617603065835,5.362011775441147,0.8261295121760238,0.18689582834319676,0.8367910455485633
17,498-1,stress,RI60,M,13.189352588644953,0.05123760665705177,5.074988774929637,2.532837879289145,0.07149399861280535,0.8629593595085175
18,498-2,stress,RI30,M,4.286879438516106,0.17636543440512514,7.405817548481732,0.6683594318580964,0.20812917883445195,0.8918075518768963
19,498-2,stress,RI60,M,8.203677082847564,0.15472379791190674,5.243979101262478,1.5690620810157971,0.11529619556778915,0.8332363336823181
20,498-3,stress,RI30,M,8.41593984474683,0.13884735813685636,5.528013107966974,1.2398445423718982,0.20251619120856076,0.7880362501941124
21,498-3,stress,RI60,M,10.963749039085227,0.11196808304588197,4.889542315402026,2.147242643630071,0.09647568663318362,0.8202518517704879
22,499-1,stress,RI30,M,9.683279532467726,0.12075435724246267,8.252372952932316,1.119578350776123,0.12368269776611644,1.112817098617633
23,499-1,stress,RI60,M,10.374833509141132,0.6047104594619153,6.132004744283203,1.6832167324511247,0.0898509839448713,0.8636535680559282
24,499-2,stress,RI30,M,3.5312672122323603,0.04856901193909537,3.7170683008662797,0.9332532542695016,0.22737200694517767,0.7247848375112581
25,499-2,stress,RI60,M,15.818764608891103,0.08253765614528155,5.17527832743973,3.0387068958339167,0.07035764541451542,0.879282144392962
26,499-3,stress,RI30,M,3.577255786846769,0.10325348617922533,5.073291326000755,0.6865372981352386,0.2226306959322732,0.7574833509142961
27,499-3,stress,RI60,M,10.708792662589834,0.5801569177314051,6.02549619710257,1.764433831743867,0.09114953035474227,0.9305254624990154
28,500-1,stress,RI30,F,2.6242710358233823,0.0708136628714246,1.8911413496251042,1.4247418654453452,0.2609263927190574,0.5706748125520689
29,500-1,stress,RI60,F,10.009069265650002,0.09374337675034261,2.365279463764626,4.316198799679551,0.08212481819816446,0.7947309507797518
30,500-2,stress,RI30,F,2.7908914190502636,0.062482643710080533,4.969452929741738,0.5872762428962383,0.27360788340245773,0.7247986670369342
31,500-2,stress,RI60,F,12.958611842415392,0.14646518291132038,5.784605918610924,2.3402844677777015,0.07441301493133343,0.8862037643610287
32,500-3,stress,RI30,F,3.63568698436673,0.11562118270223098,3.5283752714814507,0.9934110379777585,0.25998467892414756,0.7313298497937621
33,500-3,stress,RI60,F,7.696408778307439,0.07551833129357584,3.078355087216577,2.512938095238118,0.11113750416545908,0.8040263383403753
