session_idx,mouse,group,sex,day,date,n_irts,pi_0,pi_1,pi_2,pi_3,pi_4
0,649-L,naive,F,7,240312,207,0.040201914,0.009025599,0.046065252,0.45551002,0.44919723
1,819-L,stress,M,5,250904,382,0.123525135,0.09096715,0.17278245,0.41769636,0.19502883
2,649-L,naive,F,6,240311,413,0.0132036265,0.0014897955,0.25215212,0.6273716,0.10578292
3,647-0,naive,M,11,240318,395,0.12087259,0.021584732,0.40832528,0.21195406,0.23726334
4,723-0,stress,M,11,241206,688,0.2044966,0.1472952,0.4645482,0.0902218,0.09343818
5,723-R,stress,M,8,241130,709,0.04642265,9.999997e-07,0.658483,0.29509228,9.999997e-07
6,491-1,naive,F,7,220804,514,0.3109395,0.24495766,0.054854125,0.29234535,0.0969034
7,489-1,naive,M,12,220810,100,0.068031855,0.0286214,0.11503934,0.061989244,0.7263182
8,820-0,stress,F,5,250903,186,0.19280522,0.04918287,0.18086237,0.14473905,0.4324105
9,579-2,naive,F,5,230711,343,0.07270098,0.38581803,0.24850406,1.4883847e-05,0.29296207
10,493-1,naive,F,11,220808,193,0.25769722,9.999999e-07,0.08746152,0.07271017,0.5821301
11,722-RL,naive,F,12,241206,164,0.052278973,0.08056796,0.0012512073,0.34014264,0.5257592
12,723-L,stress,M,5,241127,215,0.017454028,0.10544804,0.18566288,0.0036882411,0.6877468
13,498-2,stress,M,9,220807,542,0.21312007,0.045912698,0.2959564,0.4396284,0.0053825057
14,646-0,stress,M,6,240311,1245,0.15364501,0.4114471,0.18265444,0.2522525,9.999997e-07
15,578.1-2,naive,F,6,230713,795,0.10462397,0.4492771,0.1889434,0.1900705,0.067085005
16,578.1-1,naive,F,9,230716,125,0.18017414,0.033876,0.04569316,0.11544145,0.6248153
17,578-1,stress,F,6,230710,973,0.028662406,0.52614397,0.34581497,0.011529419,0.08784924
18,489-2,naive,M,12,220807,690,0.37896574,0.021543616,0.21417858,0.31306627,0.07224572
19,647-L,stress,M,4,240306,874,0.18191557,0.2978786,0.23553158,0.28467324,9.999995e-07
20,489-2,naive,M,9,220804,552,0.25765175,0.048862986,0.12236209,0.5111508,0.059972484
21,644-R,stress,M,11,240318,894,0.0043009575,0.15181305,0.5879403,0.25594482,9.999999e-07
22,500-3,stress,F,10,220806,266,0.14487636,0.11010573,0.04001598,0.274943,0.43005893
23,500-3,stress,F,12,220808,393,0.14532319,0.092698716,0.063512556,0.5313406,0.16712497
24,500-1,stress,F,5,220801,569,0.45310935,9.999997e-07,0.07498697,0.3621104,0.10979235
25,498-2,stress,M,1,220729,334,0.19373362,0.1450327,0.18664609,0.19389328,0.2806944
26,498-1,stress,M,6,220802,591,0.34930566,0.17876029,0.23051094,0.12193297,0.11949013
27,722-RL,naive,F,7,241129,402,0.061666865,0.3296228,0.041380003,0.4802224,0.08710792
28,578-2,stress,F,5,230712,826,0.25398064,0.36260292,0.19188513,0.10442014,0.08711117
29,579-2,naive,F,3,230707,541,0.038232025,0.53341496,0.18859027,0.07149697,0.16826577
30,489-1,naive,M,5,220803,265,0.09246935,0.20281664,0.16058356,0.05026426,0.4938662
31,500-2,stress,F,2,220728,347,0.22809948,0.1329027,0.13064858,0.33005178,0.17829745
32,819-L,stress,M,6,250905,627,0.15848796,0.2870239,0.15319386,0.29671413,0.104580246
33,578-1,stress,F,8,230712,545,0.025289876,0.5723169,0.23205046,0.0058245077,0.1645183
34,649-R,naive,F,5,240307,467,0.010459111,0.15438324,0.25481993,0.4755042,0.1048335
35,498-3,stress,M,12,220809,489,0.14640771,0.33995676,0.1646575,0.19320814,0.1557699
36,645-L,naive,M,3,240304,1117,0.28166747,0.25846872,0.263079,0.1872219,0.009563032
37,822-0,naive,F,6,250905,504,0.059467223,0.33037326,0.13815582,0.4225613,0.0494424
38,822-0,naive,F,7,250908,241,0.01679513,0.26665273,0.040531334,0.42260587,0.25341496
39,578.1-2,naive,F,5,230712,661,0.063228294,0.42891032,0.29576537,0.0915961,0.12049997
40,649-R,naive,F,4,240306,564,0.007541339,0.2556383,0.48105466,0.14391296,0.11185284
41,646-L,stress,M,13,240320,434,0.05933085,0.15679543,0.27330062,0.3801573,0.13041581
42,649-L,naive,F,9,240316,193,0.0053628394,9.999995e-07,0.09846634,0.32384482,0.572325
43,500-3,stress,F,4,220731,602,0.16357063,0.32919762,0.19209272,0.20940992,0.10572919
