mouse,group,last_poke_min
489-2,naive,51.41833333333333
499-1,stress,59.769999999999996
499-3,stress,57.7
498-1,stress,51.667500000000004
500-1,stress,57.69666666666667
491-2,naive,22.802500000000002
489-3,naive,35.45166666666667
501-1,stress,59.594166666666666
500-3,stress,59.57166666666667
500-2,stress,50.894999999999996
491-1,naive,54.309999999999995
498-3,stress,59.95583333333333
501-2,stress,56.309999999999995
493-1,naive,59.93416666666667
499-2,stress,60.01166666666666
493-2,naive,23.339166666666664
489-1,naive,59.832499999999996
489-4,naive,18.954166666666666
498-2,stress,59.575
579-1,stress,39.48466666666666
579.1-1,stress,59.963
579-2,naive,14.502666666666666
579.1-2,naive,56.993500000000004
578-1,stress,37.70016666666667
578-2,stress,58.03933333333334
578.1-1,naive,19.729833333333332
580.1-1,naive,59.077999999999996
578.1-2,naive,32.696333333333335
646-0,stress,43.52466666666667
648-R,stress,59.90916666666667
645-0,naive,52.7605
649-R,naive,54.04366666666667
645-R,naive,33.022166666666664
649-0,naive,24.307333333333336
647-0,naive,59.87283333333333
646-L,stress,59.57083333333333
644-0,naive,25.144833333333334
648-L,stress,59.775666666666666
645-L,naive,59.6725
644-R,stress,59.94166666666667
647-L,stress,59.779833333333336
648-0,stress,59.24616666666667
649-L,naive,23.360500000000002
723-R,stress,41.07633333333333
723-RL,stress,57.976
723-L,stress,59.362833333333334
722-L,naive,59.48016666666667
723-0,stress,59.89816666666666
722-RL,naive,5.3695
725-0,stress,50.71333333333334
728-R,naive,59.20166666666667
728-L,naive,50.024166666666666
725-L,stress,59.29866666666667
728-0,naive,56.32516666666667
728-RL,naive,58.03783333333333
822-R,naive,52.28333333333333
819-R,stress,59.50533333333333
820-0,stress,58.18816666666667
822-0,naive,54.105000000000004
819-L,stress,58.54833333333333
822-L,naive,56.666333333333334
820-R,stress,7.951333333333333
821-0,naive,5.652833333333334
821-R,naive,59.8825
