mouse,group,total_shocks,median_post_shock_latency,pct_compulsive_returns
489-2,naive,11,74.65000000000006,0.0
499-1,stress,40,15.25,17.94871794871795
499-3,stress,30,34.75,0.0
498-1,stress,7,165.5,14.285714285714285
500-1,stress,13,134.29999999999973,0.0
491-2,naive,5,53.82499999999999,0.0
489-3,naive,11,12.52500000000002,10.0
501-1,stress,19,30.200000000000045,0.0
500-3,stress,22,7.450000000000017,31.818181818181817
500-2,stress,10,206.5999999999999,0.0
491-1,naive,14,111.05000000000018,7.6923076923076925
498-3,stress,9,37.25,22.22222222222222
501-2,stress,17,103.22499999999997,0.0
493-1,naive,38,6.599999999999909,32.432432432432435
499-2,stress,34,5.625000000000114,44.11764705882353
493-2,naive,6,117.39999999999998,0.0
489-1,naive,13,58.70000000000002,0.0
489-4,naive,5,81.675,0.0
498-2,stress,16,51.57500000000013,6.25
579-1,stress,19,31.55000000000001,16.666666666666664
579.1-1,stress,54,7.439999999999998,33.9622641509434
579-2,naive,6,164.39999999999998,0.0
579.1-2,naive,15,69.32500000000012,7.142857142857142
578-1,stress,13,20.569999999999936,0.0
578-2,stress,12,187.1500000000001,0.0
578.1-1,naive,4,208.79000000000002,0.0
580.1-1,naive,12,197.23499999999996,8.333333333333332
578.1-2,naive,6,232.14,0.0
646-0,stress,19,61.664999999999964,0.0
648-R,stress,24,18.959999999999923,37.5
645-0,naive,17,8.795000000000186,37.5
649-R,naive,8,143.26999999999998,0.0
645-R,naive,4,450.85,0.0
649-0,naive,4,250.68000000000006,0.0
647-0,naive,16,49.209999999999866,0.0
646-L,stress,32,14.759999999999991,22.58064516129032
644-0,naive,10,27.400000000000034,0.0
648-L,stress,19,26.170000000000073,15.789473684210526
645-L,naive,16,107.82999999999993,0.0
644-R,stress,42,4.534999999999968,57.14285714285714
647-L,stress,34,6.334999999999923,50.0
648-0,stress,17,52.64000000000033,5.88235294117647
649-L,naive,6,278.3599999999999,0.0
723-R,stress,29,12.315000000000055,7.142857142857142
723-RL,stress,27,8.220000000000027,46.15384615384615
723-L,stress,25,9.8599999999999,36.0
722-L,naive,27,13.829999999999927,25.925925925925924
723-0,stress,21,6.660000000000082,28.57142857142857
722-RL,naive,2,293.34000000000003,0.0
725-0,stress,26,25.889999999999873,12.0
728-R,naive,16,131.47000000000025,0.0
728-L,naive,19,65.13999999999999,0.0
725-L,stress,16,48.77500000000005,12.5
728-0,naive,19,41.84500000000003,0.0
728-RL,naive,17,47.10000000000002,0.0
822-R,naive,11,130.94500000000002,0.0
819-R,stress,44,3.7099999999999227,65.9090909090909
820-0,stress,41,16.500000000000114,12.5
822-0,naive,22,25.970000000000027,0.0
819-L,stress,33,9.300000000000182,33.33333333333333
822-L,naive,28,11.149999999999977,37.03703703703704
820-R,stress,3,156.55499999999998,0.0
821-0,naive,3,126.82999999999998,0.0
821-R,naive,25,23.69999999999999,4.0
