,cell name,current,proj,stress,mouse,drug type,drug state,firing rate,sweep
0,m001 s3c1,0,BNST,stress,674-R,,baseline,0.0,146.0
1,m001 s3c1,20,BNST,stress,674-R,,baseline,12.0,147.0
2,m001 s3c1,40,BNST,stress,674-R,,baseline,21.333333333333332,148.0
3,m001 s3c1,60,BNST,stress,674-R,,baseline,26.0,149.0
4,m001 s3c1,80,BNST,stress,674-R,,baseline,29.333333333333332,150.0
5,m001 s3c1,100,BNST,stress,674-R,,baseline,31.333333333333332,151.0
6,m001 s3c1,120,BNST,stress,674-R,,baseline,26.0,152.0
7,m001 s3c1,140,BNST,stress,674-R,,baseline,18.666666666666668,153.0
8,m001 s3c1,160,BNST,stress,674-R,,baseline,12.666666666666666,154.0
9,m001 s3c1,180,BNST,stress,674-R,,baseline,9.333333333333334,155.0
10,m001 s3c1,200,BNST,stress,674-R,,baseline,8.0,156.0
11,m001 s3c3,0,BNST,stress,674-R,,baseline,0.0,383.0
12,m001 s3c3,20,BNST,stress,674-R,,baseline,0.0,384.0
13,m001 s3c3,40,BNST,stress,674-R,,baseline,6.0,385.0
14,m001 s3c3,60,BNST,stress,674-R,,baseline,12.0,386.0
15,m001 s3c3,80,BNST,stress,674-R,,baseline,18.0,387.0
16,m001 s3c3,100,BNST,stress,674-R,,baseline,22.666666666666668,388.0
17,m001 s3c3,120,BNST,stress,674-R,,baseline,28.666666666666668,389.0
18,m001 s3c3,140,BNST,stress,674-R,,baseline,32.0,390.0
19,m001 s3c3,160,BNST,stress,674-R,,baseline,34.0,391.0
20,m001 s3c3,180,BNST,stress,674-R,,baseline,35.333333333333336,392.0
21,m001 s3c3,200,BNST,stress,674-R,,baseline,36.666666666666664,393.0
22,m001 s4c1,0,BNST,stress,674-R,,baseline,0.0,501.0
23,m001 s4c1,20,BNST,stress,674-R,,baseline,0.0,502.0
24,m001 s4c1,40,BNST,stress,674-R,,baseline,4.0,503.0
25,m001 s4c1,60,BNST,stress,674-R,,baseline,7.333333333333333,504.0
26,m001 s4c1,80,BNST,stress,674-R,,baseline,6.0,505.0
27,m001 s4c1,100,BNST,stress,674-R,,baseline,5.333333333333333,506.0
28,m001 s4c1,120,BNST,stress,674-R,,baseline,5.333333333333333,507.0
29,m001 s4c1,140,BNST,stress,674-R,,baseline,4.0,508.0
30,m001 s4c1,160,BNST,stress,674-R,,baseline,4.0,509.0
31,m001 s4c1,180,BNST,stress,674-R,,baseline,3.3333333333333335,510.0
32,m001 s4c1,200,BNST,stress,674-R,,baseline,3.3333333333333335,511.0
33,m001 s5c1,0,BNST,stress,674-R,,baseline,2.6666666666666665,619.0
34,m001 s5c1,20,BNST,stress,674-R,,baseline,10.0,620.0
35,m001 s5c1,40,BNST,stress,674-R,,baseline,12.0,621.0
36,m001 s5c1,60,BNST,stress,674-R,,baseline,12.666666666666666,622.0
37,m001 s5c1,80,BNST,stress,674-R,,baseline,12.666666666666666,623.0
38,m001 s5c1,100,BNST,stress,674-R,,baseline,10.0,624.0
39,m001 s5c1,120,BNST,stress,674-R,,baseline,7.333333333333333,625.0
40,m001 s5c1,140,BNST,stress,674-R,,baseline,6.666666666666667,626.0
41,m001 s5c1,160,BNST,stress,674-R,,baseline,6.0,627.0
42,m001 s5c1,180,BNST,stress,674-R,,baseline,6.0,628.0
43,m001 s5c1,200,BNST,stress,674-R,,baseline,6.0,629.0
44,m006 s2c2 +,0,SNL,stress,611-006,,baseline,0.0,1138.0
45,m006 s2c2 +,20,SNL,stress,611-006,,baseline,0.0,1139.0
46,m006 s2c2 +,40,SNL,stress,611-006,,baseline,12.666666666666666,1140.0
47,m006 s2c2 +,60,SNL,stress,611-006,,baseline,18.666666666666668,1141.0
48,m006 s2c2 +,80,SNL,stress,611-006,,baseline,24.0,1142.0
49,m006 s2c2 +,100,SNL,stress,611-006,,baseline,25.333333333333332,1143.0
50,m006 s2c2 +,120,SNL,stress,611-006,,baseline,26.0,1144.0
51,m006 s2c2 +,140,SNL,stress,611-006,,baseline,16.0,1145.0
52,m006 s2c2 +,160,SNL,stress,611-006,,baseline,9.333333333333334,1146.0
53,m006 s2c2 +,180,SNL,stress,611-006,,baseline,7.333333333333333,1147.0
54,m006 s2c2 +,200,SNL,stress,611-006,,baseline,7.333333333333333,1148.0
55,m006 s2c6 +,0,SNL,stress,611-006,,baseline,0.0,1545.0
56,m006 s2c6 +,20,SNL,stress,611-006,,baseline,1.3333333333333333,1546.0
57,m006 s2c6 +,40,SNL,stress,611-006,,baseline,6.666666666666667,1547.0
58,m006 s2c6 +,60,SNL,stress,611-006,,baseline,11.333333333333334,1548.0
59,m006 s2c6 +,80,SNL,stress,611-006,,baseline,16.0,1549.0
60,m006 s2c6 +,100,SNL,stress,611-006,,baseline,21.333333333333332,1550.0
61,m006 s2c6 +,120,SNL,stress,611-006,,baseline,18.666666666666668,1551.0
62,m006 s2c6 +,140,SNL,stress,611-006,,baseline,16.0,1552.0
63,m006 s2c6 +,160,SNL,stress,611-006,,baseline,8.666666666666666,1553.0
64,m006 s2c6 +,180,SNL,stress,611-006,,baseline,8.0,1554.0
65,m006 s2c6 +,200,SNL,stress,611-006,,baseline,8.0,1555.0
66,m006 s2c7 +,0,SNL,stress,611-006,,baseline,0.0,1582.0
67,m006 s2c7 +,20,SNL,stress,611-006,,baseline,4.666666666666667,1583.0
68,m006 s2c7 +,40,SNL,stress,611-006,,baseline,10.0,1584.0
69,m006 s2c7 +,60,SNL,stress,611-006,,baseline,15.333333333333334,1585.0
70,m006 s2c7 +,80,SNL,stress,611-006,,baseline,18.666666666666668,1586.0
71,m006 s2c7 +,100,SNL,stress,611-006,,baseline,20.0,1587.0
72,m006 s2c7 +,120,SNL,stress,611-006,,baseline,12.666666666666666,1588.0
73,m006 s2c7 +,140,SNL,stress,611-006,,baseline,9.333333333333334,1589.0
74,m006 s2c7 +,160,SNL,stress,611-006,,baseline,10.0,1590.0
75,m006 s2c7 +,180,SNL,stress,611-006,,baseline,7.333333333333333,1591.0
76,m006 s2c7 +,200,SNL,stress,611-006,,baseline,8.0,1592.0
77,m006 s4c1 + (mz_s2c1),0,SNL,stress,611-006,,baseline,0.0,138.0
78,m006 s4c1 + (mz_s2c1),20,SNL,stress,611-006,,baseline,0.0,139.0
79,m006 s4c1 + (mz_s2c1),40,SNL,stress,611-006,,baseline,2.0,140.0
80,m006 s4c1 + (mz_s2c1),60,SNL,stress,611-006,,baseline,12.0,141.0
81,m006 s4c1 + (mz_s2c1),80,SNL,stress,611-006,,baseline,21.333333333333332,142.0
82,m006 s4c1 + (mz_s2c1),100,SNL,stress,611-006,,baseline,27.333333333333332,143.0
83,m006 s4c1 + (mz_s2c1),120,SNL,stress,611-006,,baseline,33.333333333333336,144.0
84,m006 s4c1 + (mz_s2c1),140,SNL,stress,611-006,,baseline,36.666666666666664,145.0
85,m006 s4c1 + (mz_s2c1),160,SNL,stress,611-006,,baseline,40.0,146.0
86,m006 s4c1 + (mz_s2c1),180,SNL,stress,611-006,,baseline,42.666666666666664,147.0
87,m006 s4c1 + (mz_s2c1),200,SNL,stress,611-006,,baseline,42.0,148.0
88,m009 s1c1 +,0,SNL,stress,607-009,,baseline,0.0,1016.0
89,m009 s1c1 +,20,SNL,stress,607-009,,baseline,0.0,1017.0
90,m009 s1c1 +,40,SNL,stress,607-009,,baseline,0.0,1018.0
91,m009 s1c1 +,60,SNL,stress,607-009,,baseline,0.6666666666666666,1019.0
92,m009 s1c1 +,80,SNL,stress,607-009,,baseline,2.0,1020.0
93,m009 s1c1 +,100,SNL,stress,607-009,,baseline,2.6666666666666665,1021.0
94,m009 s1c1 +,120,SNL,stress,607-009,,baseline,3.3333333333333335,1022.0
95,m009 s1c1 +,140,SNL,stress,607-009,,baseline,4.0,1023.0
96,m009 s1c1 +,160,SNL,stress,607-009,,baseline,6.0,1024.0
97,m009 s1c1 +,180,SNL,stress,607-009,,baseline,6.666666666666667,1025.0
98,m009 s1c1 +,200,SNL,stress,607-009,,baseline,8.0,1026.0
99,m011 s2c1 +,0,SNL,naive,608-011,,baseline,0.0,297.0
100,m011 s2c1 +,20,SNL,naive,608-011,,baseline,3.6666666666666665,298.0
101,m011 s2c1 +,40,SNL,naive,608-011,,baseline,14.333333333333334,299.0
102,m011 s2c1 +,60,SNL,naive,608-011,,baseline,19.333333333333332,300.0
103,m011 s2c1 +,80,SNL,naive,608-011,,baseline,17.666666666666668,301.0
104,m011 s2c1 +,100,SNL,naive,608-011,,baseline,24.0,302.0
105,m011 s2c1 +,120,SNL,naive,608-011,,baseline,29.0,303.0
106,m011 s2c1 +,140,SNL,naive,608-011,,baseline,34.333333333333336,304.0
107,m011 s2c1 +,160,SNL,naive,608-011,,baseline,30.666666666666668,305.0
