avoids,escapes,percent avoid,avoid latency,escape latency,trial crossings,mouse,dayOnType,sex
19,11,0.6333333333333333,2.7094736842105265,5.667272727272727,31,116,2,Male
16,14,0.5333333333333333,3.3068750000000002,6.063571428571428,35,45,5,Female
1,29,0.03333333333333333,4.87,6.777931034482759,35,37,2,Male
3,27,0.1,3.01,6.058518518518518,36,36,1,Male
22,8,0.7333333333333333,3.034090909090909,6.01875,39,45,6,Female
24,6,0.8,3.0195833333333333,5.659999999999999,72,942,5,Male
0,30,0.0,,5.744666666666665,30,752,3,Female
15,15,0.5,2.6366666666666663,6.256666666666666,33,117,2,Male
1,29,0.03333333333333333,2.85,5.831724137931035,31,941,2,Male
19,11,0.6333333333333333,3.293684210526316,5.631818181818182,30,117,4,Male
6,24,0.2,2.1283333333333334,5.615833333333334,47,105,2,Female
14,16,0.4666666666666667,2.517142857142857,5.665,33,556,3,Male
1,29,0.03333333333333333,4.93,5.686896551724137,32,109,5,Female
1,29,0.03333333333333333,3.63,5.641034482758621,30,752,2,Female
12,18,0.4,2.8524999999999996,5.627222222222223,38,40,5,Female
21,9,0.7,2.503809523809524,5.591111111111111,44,843,3,Female
28,2,0.9333333333333333,2.1249999999999996,6.199999999999999,43,843,7,Female
12,18,0.4,3.3508333333333336,5.491666666666666,30,117,5,Male
27,3,0.9,2.7611111111111106,5.5633333333333335,51,942,7,Male
6,24,0.2,4.3566666666666665,6.3325,31,941,6,Male
19,11,0.6333333333333333,3.2794736842105263,6.347272727272727,31,116,4,Male
24,6,0.8,3.09,7.430000000000001,37,749,7,Female
0,30,0.0,,5.9816666666666665,31,40,1,Female
20,10,0.6666666666666666,3.0944999999999996,5.508000000000001,31,117,7,Male
12,18,0.4,3.6758333333333333,5.9511111111111115,30,555,7,Male
16,14,0.5333333333333333,2.511875,5.705,42,38,3,Male
4,26,0.13333333333333333,2.6100000000000003,5.653076923076923,31,555,1,Male
26,4,0.8666666666666667,2.871153846153846,5.465000000000001,53,942,3,Male
22,8,0.7333333333333333,3.412272727272727,5.393750000000001,38,36,7,Male
6,24,0.2,3.4150000000000005,6.262083333333334,66,843,1,Female
7,23,0.23333333333333334,3.138571428571429,5.55913043478261,44,751,1,Female
19,11,0.6333333333333333,3.113684210526316,6.0636363636363635,40,38,5,Male
26,4,0.8666666666666667,2.420769230769231,5.727499999999999,34,843,6,Female
7,23,0.23333333333333334,3.851428571428571,5.931304347826086,37,37,6,Male
6,24,0.2,4.51,5.909166666666667,32,941,5,Male
7,23,0.23333333333333334,3.722857142857143,5.448260869565217,30,557,4,Male
19,11,0.6333333333333333,3.2642105263157895,5.72,33,36,4,Male
4,25,0.13793103448275862,2.86,8.2528,32,106,2,Female
3,27,0.1,3.9299999999999997,6.257407407407407,31,35,1,Male
1,29,0.03333333333333333,3.71,5.782413793103448,34,941,1,Male
1,29,0.03333333333333333,2.52,5.670344827586208,30,109,3,Female
4,26,0.13333333333333333,4.0175,6.616538461538462,31,941,7,Male
9,21,0.3,2.587777777777778,5.597619047619046,33,555,4,Male
6,24,0.2,3.5483333333333333,5.56125,35,105,4,Female
0,30,0.0,,7.134333333333334,30,40,2,Female
24,6,0.8,1.97,5.489999999999999,38,110,4,Female
4,26,0.13333333333333333,3.28,5.691538461538461,51,557,1,Male
19,11,0.6333333333333333,3.047894736842105,5.913636363636363,41,750,5,Female
7,23,0.23333333333333334,3.3285714285714283,5.453913043478261,30,557,5,Male
22,8,0.7333333333333333,2.4959090909090906,5.345,37,106,5,Female
11,19,0.36666666666666664,3.5500000000000003,6.129473684210526,41,37,5,Male
0,28,0.0,,6.409285714285715,35,106,1,Female
8,22,0.26666666666666666,2.8024999999999998,5.819545454545454,45,116,1,Male
16,14,0.5333333333333333,3.050625,6.144999999999999,32,116,7,Male
3,27,0.1,2.813333333333333,5.823703703703704,36,105,1,Female
23,7,0.7666666666666667,2.931304347826088,5.404285714285714,45,942,4,Male
4,26,0.13333333333333333,4.4125,6.635,31,37,4,Male
12,18,0.4,1.8391666666666666,5.795555555555556,32,555,2,Male
0,30,0.0,,6.481,35,45,1,Female
17,13,0.5666666666666667,3.7270588235294113,5.571538461538461,30,116,6,Male
5,25,0.16666666666666666,2.898,5.584799999999999,31,555,5,Male
23,7,0.7666666666666667,3.203478260869565,5.782857142857144,60,942,6,Male
24,6,0.8,2.901666666666667,5.553333333333334,33,843,4,Female
17,13,0.5666666666666667,2.837058823529412,5.889230769230768,30,117,3,Male
