projection,gene,count
SN (Drd1+/Sema3c-),Kcnq2,11
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,2
SN (Drd1+/Sema3c-),Kcnq2,33
SN (Drd1+/Sema3c-),Kcnq2,25
SN (Drd1+/Sema3c-),Kcnq2,18
SN (Drd1+/Sema3c-),Kcnq2,7
SN (Drd1+/Sema3c-),Kcnq2,25
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,17
SN (Drd1+/Sema3c-),Kcnq2,25
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,16
SN (Drd1+/Sema3c-),Kcnq2,51
SN (Drd1+/Sema3c-),Kcnq2,56
SN (Drd1+/Sema3c-),Kcnq2,53
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,15
SN (Drd1+/Sema3c-),Kcnq2,41
SN (Drd1+/Sema3c-),Kcnq2,23
SN (Drd1+/Sema3c-),Kcnq2,18
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,37
SN (Drd1+/Sema3c-),Kcnq2,15
SN (Drd1+/Sema3c-),Kcnq2,42
SN (Drd1+/Sema3c-),Kcnq2,14
SN (Drd1+/Sema3c-),Kcnq2,31
SN (Drd1+/Sema3c-),Kcnq2,34
SN (Drd1+/Sema3c-),Kcnq2,6
SN (Drd1+/Sema3c-),Kcnq2,5
SN (Drd1+/Sema3c-),Kcnq2,16
SN (Drd1+/Sema3c-),Kcnq2,82
SN (Drd1+/Sema3c-),Kcnq2,36
SN (Drd1+/Sema3c-),Kcnq2,26
SN (Drd1+/Sema3c-),Kcnq2,35
SN (Drd1+/Sema3c-),Kcnq2,66
SN (Drd1+/Sema3c-),Kcnq2,10
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,14
SN (Drd1+/Sema3c-),Kcnq2,10
SN (Drd1+/Sema3c-),Kcnq2,16
SN (Drd1+/Sema3c-),Kcnq2,63
SN (Drd1+/Sema3c-),Kcnq2,52
SN (Drd1+/Sema3c-),Kcnq2,1
SN (Drd1+/Sema3c-),Kcnq2,12
SN (Drd1+/Sema3c-),Kcnq2,19
SN (Drd1+/Sema3c-),Kcnq2,24
SN (Drd1+/Sema3c-),Kcnq2,1
SN (Drd1+/Sema3c-),Kcnq2,27
SN (Drd1+/Sema3c-),Kcnq2,25
SN (Drd1+/Sema3c-),Kcnq2,14
SN (Drd1+/Sema3c-),Kcnq2,40
SN (Drd1+/Sema3c-),Kcnq2,8
SN (Drd1+/Sema3c-),Kcnq2,13
SN (Drd1+/Sema3c-),Kcnq2,15
SN (Drd1+/Sema3c-),Kcnq2,30
SN (Drd1+/Sema3c-),Kcnq2,5
SN (Drd1+/Sema3c-),Kcnq2,13
SN (Drd1+/Sema3c-),Kcnq2,7
SN (Drd1+/Sema3c-),Kcnq2,3
SN (Drd1+/Sema3c-),Kcnq2,4
SN (Drd1+/Sema3c-),Kcnq2,6
SN (Drd1+/Sema3c-),Kcnq2,10
SN (Drd1+/Sema3c-),Kcnq2,23
SN (Drd1+/Sema3c-),Kcnq2,20
SN (Drd1+/Sema3c-),Kcnq2,15
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,9
SN (Drd1+/Sema3c-),Kcnq2,8
SN (Drd1+/Sema3c-),Kcnq2,8
SN (Drd1+/Sema3c-),Kcnq2,30
SN (Drd1+/Sema3c-),Kcnq2,12
SN (Drd1+/Sema3c-),Kcnq2,8
SN (Drd1+/Sema3c-),Kcnq2,5
SN (Drd1+/Sema3c-),Kcnq2,36
SN (Drd1+/Sema3c-),Kcnq2,26
SN (Drd1+/Sema3c-),Kcnq2,9
SN (Drd1+/Sema3c-),Kcnq2,26
SN (Drd1+/Sema3c-),Kcnq2,1
SN (Drd1+/Sema3c-),Kcnq2,12
SN (Drd1+/Sema3c-),Kcnq2,6
SN (Drd1+/Sema3c-),Kcnq2,2
SN (Drd1+/Sema3c-),Kcnq2,5
SN (Drd1+/Sema3c-),Kcnq2,1
SN (Drd1+/Sema3c-),Kcnq2,16
SN (Drd1+/Sema3c-),Kcnq2,8
SN (Drd1+/Sema3c-),Kcnq2,3
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,8
SN (Drd1+/Sema3c-),Kcnq2,11
SN (Drd1+/Sema3c-),Kcnq2,19
SN (Drd1+/Sema3c-),Kcnq2,35
SN (Drd1+/Sema3c-),Kcnq2,6
SN (Drd1+/Sema3c-),Kcnq2,20
SN (Drd1+/Sema3c-),Kcnq2,25
SN (Drd1+/Sema3c-),Kcnq2,3
SN (Drd1+/Sema3c-),Kcnq2,47
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,4
SN (Drd1+/Sema3c-),Kcnq2,50
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,1
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,121
SN (Drd1+/Sema3c-),Kcnq2,20
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,10
SN (Drd1+/Sema3c-),Kcnq2,8
SN (Drd1+/Sema3c-),Kcnq2,62
SN (Drd1+/Sema3c-),Kcnq2,21
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,16
SN (Drd1+/Sema3c-),Kcnq2,9
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq2,4
SN (Drd1+/Sema3c-),Kcnq2,5
SN (Drd1+/Sema3c-),Kcnq2,0
SN (Drd1+/Sema3c-),Kcnq3,1
SN (Drd1+/Sema3c-),Kcnq3,0
SN (Drd1+/Sema3c-),Kcnq3,0
SN (Drd1+/Sema3c-),Kcnq3,7
SN (Drd1+/Sema3c-),Kcnq3,12
SN (Drd1+/Sema3c-),Kcnq3,0
SN (Drd1+/Sema3c-),Kcnq3,0
SN (Drd1+/Sema3c-),Kcnq3,1
SN (Drd1+/Sema3c-),Kcnq3,4
SN (Drd1+/Sema3c-),Kcnq3,7
SN (Drd1+/Sema3c-),Kcnq3,24
SN (Drd1+/Sema3c-),Kcnq3,0
SN (Drd1+/Sema3c-),Kcnq3,10
SN (Drd1+/Sema3c-),Kcnq3,41
SN (Drd1+/Sema3c-),Kcnq3,0
SN (Drd1+/Sema3c-),Kcnq3,17
SN (Drd1+/Sema3c-),Kcnq3,1
SN (Drd1+/Sema3c-),Kcnq3,0
SN (Drd1+/Sema3c-),Kcnq3,0
SN (Drd1+/Sema3c-),Kcnq3,1
SN (Drd1+/Sema3c-),Kcnq3,42
SN (Drd1+/Sema3c-),Kcnq3,0
